Boycott-list alternative workbook,Value
Source page,https://boycott-israel.org/boycott.html
Rows / listed items,228
Alternatives per row,3
Distinct alternative company names,361
Categories,9
Capture date,19 Aug 2026
Use note,"Comparable options only; Beiersdorf sub-brand rows inherit the requested parent-level boycott screening. Verify local availability, ownership and current campaign status. See Methodology."
Supplemental Nivea article,https://brusselsmorning.com/does-nivea-support-israel-brand-stance-explained/76051/
Official NIVEA parent verification,https://www.beiersdorf.com/brands/nivea
Official Beiersdorf brand portfolio,https://www.beiersdorf.com/brands
Official Beiersdorf regional/iconic brands,https://www.beiersdorf.com/brands/other-iconic-brands
